Rank,Team,Score,Year
116,Libya,1358.05,2002
117,Burundi,1352.06,2002
118,Uganda,1339.28,2002
119,Gambia,1338.27,2002
120,Cape Verde,1333.93,2002
121,Guadeloupe,1333.68,2002
122,Rwanda,1319.72,2002
123,Barbados,1319.11,2002
124,Niger,1314.53,2002
125,Sierra Leone,1310.77,2002
126,Grenada,1308.38,2002
127,Azerbaijan,1304.72,2002
128,Malawi,1301.68,2002
129,Tanzania,1286.43,2002
130,Chad,1284.22,2002
131,Reunion,1277.73,2002
132,Suriname,1275.4,2002
133,Solomon Islands,1268.53,2002
134,Malaysia,1268.49,2002
135,Mozambique,1261.82,2002
136,Vietnam,1260.33,2002
137,Saint Lucia,1259.71,2002
138,Benin,1255.02,2002
139,Malta,1252.05,2002
140,Faroe Islands,1250.68,2002
141,Central African Republic,1239.22,2002
142,Palestine,1239.04,2002
143,Mauritius,1237.58,2002
144,Swaziland,1220.54,2002
145,Namibia,1214.97,2002
146,Singapore,1212.25,2002
147,Yemen,1209.01,2002
148,Eritrea,1164.32,2002
149,Netherlands Antilles,1162.46,2002
150,Lesotho,1148.74,2002
151,Zanzibar,1146.31,2002
152,Botswana,1145.7,2002
153,Cayman Islands,1138.15,2002
154,Mauritania,1133.55,2002
155,India,1129.65,2002
156,Belize,1127.93,2002
157,Vanuatu,1126.88,2002
158,Dominican Republic,1125.88,2002
159,French Guiana,1120.79,2002
160,New Caledonia,1119.18,2002
161,Myanmar,1109.49,2002
162,Luxembourg,1107.32,2002
163,Antigua and Barbuda,1105.53,2002
164,Guyana,1099.98,2002
165,Papua New Guinea,1077.58,2002
166,Saint Martin,1071.23,2002
167,Andorra,1070.1,2002
168,Somalia,1062.06,2002
169,Liechtenstein,1061.15,2002
170,Gibraltar,1052.53,2002
171,Dominica,1050.28,2002
172,Equatorial Guinea,1030.42,2002
173,Chinese Taipei,1011.53,2002
174,Seychelles,981.69,2002
175,Aruba,969.81,2002
176,San Marino,950.28,2002
177,Monaco,906.94,2002
178,Sri Lanka,905.71,2002
179,Nicaragua,899.96,2002
180,Maldives,895.81,2002
181,Laos,888.22,2002
182,Cambodia,882.14,2002
183,Puerto Rico,880.39,2002
184,British Virgin Islands,864.38,2002
185,Pakistan,781.96,2002
186,Philippines,707.14,2002
187,Samoa,704.28,2002
188,US Virgin Islands,695.37,2002
189,Tonga,663.59,2002
190,Bhutan,567.59,2002
191,Montserrat,552.41,2002
192,Anguilla,541.02,2002
193,American Samoa,386.66,2002
1,Netherlands,2034.65,2003
2,Brazil,2022.4,2003
3,Argentina,2018.53,2003
4,France,1999.4,2003
5,Spain,1983.96,2003
6,England,1954.58,2003
7,Czech Republic,1933.29,2003
8,Portugal,1928.25,2003
9,Italy,1913.99,2003
10,Germany,1908.03,2003
11,Denmark,1902.11,2003
12,Turkey,1879.53,2003
13,Ireland,1856.06,2003
14,Mexico,1847.24,2003
15,United States,1830.3,2003
16,Australia,1826.29,2003
17,Sweden,1825.54,2003
18,Uruguay,1816.67,2003
19,Croatia,1815.44,2003
20,Colombia,1802.94,2003
21,Romania,1793.73,2003
22,Japan,1792.24,2003
23,Belgium,1787.63,2003
24,Cameroon,1785.82,2003
25,Russia,1769.85,2003
26,Paraguay,1766.69,2003
27,Norway,1764.16,2003
28,Bulgaria,1759.15,2003
29,Senegal,1754.24,2003
30,Costa Rica,1753.78,2003
31,Serbia and Montenegro,1751.14,2003
32,Nigeria,1744.05,2003
33,Greece,1740.71,2003
34,South Korea,1739.62,2003
35,Ecuador,1724.92,2003
36,Switzerland,1718.41,2003
37,Poland,1709.34,2003
38,Iran,1706.59,2003
39,Honduras,1691.98,2003
40,Ukraine,1685.57,2003
41,Finland,1684.53,2003
42,Austria,1678.98,2003
43,Slovakia,1678.2,2003
44,Israel,1673.36,2003
45,Scotland,1661.83,2003
46,Saudi Arabia,1660.67,2003
47,Slovenia,1660.64,2003
48,South Africa,1659.33,2003
49,Wales,1656.64,2003
50,Peru,1645.51,2003
51,Tunisia,1641.32,2003
52,Egypt,1628.73,2003
53,Chile,1616.21,2003
54,Canada,1615.76,2003
55,Venezuela,1612.74,2003
56,Iraq,1611.81,2003
57,China,1602.67,2003
58,Georgia,1580.15,2003
59,Ivory Coast,1579.07,2003
60,Jamaica,1578.26,2003
61,Hungary,1577.9,2003
62,Morocco,1571.27,2003
63,Iceland,1562.16,2003
64,Bosnia and Herzegovina,1558.96,2003
65,Bolivia,1558.13,2003
66,New Zealand,1556.3,2003
67,Guatemala,1551.07,2003
68,Belarus,1540.27,2003
69,Cuba,1538.14,2003
70,Jordan,1535.04,2003
71,Qatar,1531.78,2003
72,Mali,1523.22,2003
73,El Salvador,1514.58,2003
74,Algeria,1509.08,2003
75,Kuwait,1501.08,2003
76,Kenya,1495.8,2003
77,Albania,1495.61,2003
78,Dem. Rep. of Congo,1492.87,2003
79,Guinea,1489.94,2003
80,Bahrain,1487.74,2003
81,Zimbabwe,1487.67,2003
82,Northern Ireland,1487.18,2003
83,Latvia,1483.1,2003
84,Angola,1480.65,2003
85,Uzbekistan,1480.14,2003
86,North Korea,1479.67,2003
87,Ghana,1473.03,2003
88,Haiti,1472.51,2003
89,Cyprus,1468.6,2003
90,Zambia,1464.18,2003
91,Macedonia,1459.14,2003
92,Oman,1455.66,2003
93,Liberia,1447.48,2003
94,Togo,1443.22,2003
95,Thailand,1439.36,2003
96,Martinique,1435.46,2003
97,Tajikistan,1435.16,2003
98,Burkina Faso,1432.63,2003
99,Kazakhstan,1430.27,2003
100,Armenia,1430.17,2003
101,Estonia,1430.13,2003
102,Trinidad and Tobago,1427.58,2003
103,Turkmenistan,1427.22,2003
104,United Arab Emirates,1416.41,2003
105,Lithuania,1407.42,2003
106,Syria,1402.2,2003
107,Gabon,1394.49,2003
108,Uganda,1392.44,2003
109,Panama,1389.79,2003
110,Fiji,1388.53,2003
111,Moldova,1383.6,2003
112,Congo,1375.64,2003
113,Saint Kitts and Nevis,1373.07,2003
114,Libya,1372.72,2003
115,Sudan,1372.15,2003
116,Lebanon,1362.73,2003
117,Gambia,1358.64,2003
118,Barbados,1358.2,2003
119,Guadeloupe,1355.27,2003
120,Madagascar,1352.47,2003
121,Indonesia,1348.31,2003
122,Rwanda,1344.66,2003
123,Sierra Leone,1343.79,2003
124,Azerbaijan,1337.28,2003
125,Cape Verde,1337.24,2003
126,Tahiti,1331.73,2003
127,Malawi,1327.6,2003
128,Niger,1325.14,2003
129,Benin,1313.06,2003
130,Ethiopia,1293.97,2003
131,Malaysia,1282.45,2003
132,Bermuda,1279.82,2003
133,Vietnam,1279.67,2003
134,Chad,1278.38,2003
135,Reunion,1277.92,2003
136,Saint Lucia,1275.19,2003
137,Burundi,1274.9,2003
138,Faroe Islands,1252.78,2003
139,Mozambique,1252.77,2003
140,Tanzania,1251.86,2003
141,Palestine,1251.76,2003
142,Mauritius,1249.44,2003
143,Solomon Islands,1249.22,2003
144,Swaziland,1239.35,2003
145,Guinea-Bissau,1236.07,2003
146,Malta,1232.57,2003
147,Mayotte,1213.51,2003
148,Central African Republic,1211.99,2003
149,Botswana,1190.55,2003
150,Singapore,1189.68,2003
151,Hong Kong,1185.78,2003
152,Vanuatu,1179.41,2003
153,Yemen,1179.27,2003
154,Namibia,1171.72,2003
155,Lesotho,1165.27,2003
156,Eritrea,1164.83,2003
157,Kyrgyzstan,1154.25,2003
158,Zanzibar,1153.94,2003
159,Myanmar,1145.92,2003
160,New Caledonia,1142.03,2003
161,Mauritania,1121.29,2003
162,French Guiana,1118.11,2003
163,India,1110.18,2003
164,Luxembourg,1095.11,2003
165,Antigua and Barbuda,1090.99,2003
166,Liechtenstein,1075.82,2003
167,São Tomé e Príncipe,1073.36,2003
168,Somalia,1066.02,2003
169,Gibraltar,1065.18,2003
170,Andorra,1061.18,2003
171,Papua New Guinea,1058.01,2003
172,Chinese Taipei,1039.03,2003
173,Equatorial Guinea,1037.43,2003
174,Bangladesh,1025.14,2003
175,Seychelles,1016.13,2003
176,Greenland,994.82,2003
177,Nicaragua,943.18,2003
178,San Marino,942.86,2003
179,Sri Lanka,937.81,2003
180,Maldives,914.82,2003
181,Laos,911.79,2003
182,Macau,870.75,2003
183,Nepal,866.27,2003
184,Pakistan,862.16,2003
185,Bahamas,850.99,2003
186,Comoros,840.49,2003
187,Afghanistan,821.07,2003
188,Mongolia,792.08,2003
189,Tuvalu,753.44,2003
190,Brunei,730.75,2003
191,Tonga,682.84,2003
192,Micronesia,591.8,2003
193,Kiribati,588.99,2003
194,Guam,585.99,2003
195,Bhutan,580.84,2003
1,France,2030.97,2004
2,Argentina,2016.34,2004
3,Brazil,1995.96,2004
4,Spain,1990.69,2004
5,Czech Republic,1982.07,2004
6,England,1963.82,2004
7,Netherlands,1960.91,2004
8,Italy,1926.12,2004
9,Portugal,1902.59,2004
10,Denmark,1885.54,2004
11,Germany,1872.99,2004
12,Mexico,1858.7,2004
13,Greece,1851.05,2004
14,Ireland,1844.04,2004
15,Turkey,1842.97,2004
16,Romania,1841.2,2004
17,United States,1835.29,2004
18,Croatia,1828.72,2004
19,Japan,1823.07,2004
20,Sweden,1820.62,2004
21,Australia,1810.05,2004
22,Uruguay,1804.92,2004
23,Paraguay,1789.87,2004
24,Nigeria,1783.74,2004
25,Belgium,1780.02,2004
26,Norway,1777.76,2004
27,Russia,1772.87,2004
28,Colombia,1760.17,2004
29,Poland,1757.72,2004
30,Iran,1750.39,2004
31,Cameroon,1736.19,2004
32,Bulgaria,1734.03,2004
33,Serbia and Montenegro,1733.62,2004
34,Senegal,1702.51,2004
35,Switzerland,1701.51,2004
36,Costa Rica,1698.05,2004
37,South Korea,1696.11,2004
38,Ecuador,1690.09,2004
39,Finland,1679.52,2004
40,Peru,1678.73,2004
41,Austria,1670.48,2004
42,Morocco,1669.36,2004
43,Egypt,1667.52,2004
44,Chile,1664.31,2004
45,Israel,1663.09,2004
46,Ukraine,1662.13,2004
47,Slovakia,1659.98,2004
48,Saudi Arabia,1659.67,2004
49,Tunisia,1656.14,2004
50,Honduras,1650.35,2004
51,Scotland,1648.67,2004
52,Venezuela,1648.21,2004
53,Slovenia,1647.8,2004
54,Wales,1639.23,2004
55,Ivory Coast,1625.9,2004
56,Jamaica,1616.86,2004
57,Jordan,1613.11,2004
58,China,1607.45,2004
59,Bosnia and Herzegovina,1605.16,2004
60,Canada,1582.1,2004
61,Bolivia,1580.51,2004
62,Guatemala,1578.24,2004
63,Belarus,1573.34,2004
64,South Africa,1572.28,2004
65,Hungary,1569.36,2004
66,Oman,1568.98,2004
67,Iceland,1566.9,2004
68,Bahrain,1566.13,2004
69,Iraq,1560.5,2004
70,Mali,1556.42,2004
71,Cuba,1549.51,2004
72,Uzbekistan,1543.98,2004
73,Albania,1533.46,2004
74,Guinea,1532.45,2004
75,New Zealand,1526.36,2004
76,Latvia,1518.96,2004
77,Georgia,1514.45,2004
78,Macedonia,1502.72,2004
79,Zimbabwe,1501.52,2004
80,Angola,1497.36,2004
81,Qatar,1492.35,2004
82,Northern Ireland,1491.06,2004
83,Algeria,1476.84,2004
84,Kuwait,1472.41,2004
85,Ghana,1467.83,2004
86,Zambia,1467.49,2004
87,Cyprus,1467.4,2004
88,Libya,1467.03,2004
89,Haiti,1462.92,2004
90,Togo,1461.49,2004
91,El Salvador,1460.86,2004
92,Kenya,1460.38,2004
93,Panama,1453.47,2004
94,Trinidad and Tobago,1448.13,2004
95,North Korea,1446.38,2004
96,Armenia,1442.8,2004
97,Dem. Rep. of Congo,1440.69,2004
98,Lithuania,1430.08,2004
99,United Arab Emirates,1427.09,2004
100,Turkmenistan,1425.24,2004
101,Syria,1420.75,2004
102,Martinique,1413.72,2004
103,Congo,1410.16,2004
104,Liberia,1409.78,2004
105,Tajikistan,1409.26,2004
106,Moldova,1405.82,2004
107,Burkina Faso,1401.01,2004
108,Thailand,1393.82,2004
109,Estonia,1391.91,2004
110,Uganda,1391.72,2004
111,Kazakhstan,1382.49,2004
112,Gabon,1367.44,2004
113,Azerbaijan,1366.91,2004
114,Guadeloupe,1360.45,2004
115,Lebanon,1355.18,2004
116,Rwanda,1351.3,2004
117,Cape Verde,1350.72,2004
118,Fiji,1347.33,2004
119,Barbados,1344.3,2004
120,Sudan,1343.88,2004
121,Mauritius,1341.93,2004
122,Saint Kitts and Nevis,1341.47,2004
123,Solomon Islands,1329.41,2004
124,Indonesia,1322.47,2004
125,Malawi,1305.95,2004
126,Benin,1300.58,2004
127,Ethiopia,1283.16,2004
128,Saint Vincent and the Grenadines,1281.12,2004
129,Grenada,1279.48,2004
130,Mozambique,1274.56,2004
131,Suriname,1270.29,2004
132,Palestine,1265.68,2004
133,Tahiti,1263.09,2004
134,Vietnam,1261.67,2004
135,Botswana,1257.04,2004
136,Malta,1256.2,2004
137,Burundi,1256.0,2004
138,Madagascar,1251.49,2004
139,Saint Lucia,1249.99,2004
140,Faroe Islands,1241.53,2004
141,Vanuatu,1223.83,2004
142,Tanzania,1220.81,2004
143,Bermuda,1218.5,2004
144,Malaysia,1213.67,2004
145,Hong Kong,1205.1,2004
146,Swaziland,1189.39,2004
147,New Caledonia,1188.22,2004
148,Netherlands Antilles,1182.64,2004
149,Kyrgyzstan,1169.37,2004
150,Lesotho,1168.53,2004
151,Singapore,1163.59,2004
152,India,1163.09,2004
153,Namibia,1157.73,2004
154,Yemen,1155.09,2004
155,Zanzibar,1154.03,2004
156,Myanmar,1138.99,2004
157,French Guiana,1130.11,2004
158,Belize,1128.71,2004
159,Antigua and Barbuda,1116.43,2004
160,Cayman Islands,1097.73,2004
161,Guyana,1086.85,2004
162,Dominican Republic,1075.56,2004
163,Liechtenstein,1074.4,2004
164,Dominica,1073.58,2004
165,Andorra,1064.55,2004
166,Luxembourg,1061.39,2004
167,Somalia,1057.89,2004
168,Saint Martin,1046.81,2004
169,Papua New Guinea,1041.24,2004
170,Chinese Taipei,1036.61,2004
171,Nicaragua,989.26,2004
172,Sri Lanka,962.34,2004
173,Maldives,960.79,2004
174,San Marino,949.48,2004
175,Aruba,939.44,2004
176,Laos,886.73,2004
177,Puerto Rico,875.82,2004
178,Cambodia,863.9,2004
179,British Virgin Islands,846.75,2004
180,Bahamas,839.37,2004
181,Turks and Caicos,765.27,2004
182,Tonga,712.36,2004
183,Samoa,692.27,2004
184,Cook Islands,684.68,2004
185,Timor-Leste,684.64,2004
186,Philippines,683.58,2004
187,US Virgin Islands,672.31,2004
188,Anguilla,553.39,2004
189,Montserrat,542.48,2004
190,American Samoa,376.24,2004
1,Brazil,2003.68,2005
2,Argentina,1989.52,2005
3,Netherlands,1984.92,2005
4,Czech Republic,1984.65,2005
5,England,1972.0,2005
6,France,1969.66,2005
7,Spain,1956.97,2005
8,Italy,1913.83,2005
9,Portugal,1900.88,2005
10,Sweden,1896.13,2005
11,Germany,1893.08,2005
12,Mexico,1880.51,2005
13,Denmark,1860.72,2005
14,Croatia,1856.86,2005
15,Greece,1853.42,2005
16,United States,1851.0,2005
17,Ireland,1849.1,2005
18,Romania,1827.76,2005
19,Japan,1825.81,2005
20,Turkey,1822.71,2005
21,Uruguay,1818.42,2005
22,Poland,1808.87,2005
23,Iran,1804.26,2005
24,Norway,1788.78,2005
25,Ukraine,1780.42,2005
26,Colombia,1779.31,2005
27,Serbia and Montenegro,1777.9,2005
28,Australia,1776.06,2005
29,Paraguay,1763.67,2005
30,Nigeria,1752.27,2005
31,Russia,1748.53,2005
32,Ecuador,1732.83,2005
33,Switzerland,1731.17,2005
34,Cameroon,1729.04,2005
35,Belgium,1721.78,2005
36,Costa Rica,1713.18,2005
37,Israel,1708.13,2005
38,Bulgaria,1700.78,2005
39,Egypt,1694.85,2005
40,Finland,1694.85,2005
41,Honduras,1691.01,2005
42,South Korea,1686.69,2005
43,Senegal,1685.84,2005
44,Slovakia,1677.79,2005
45,Chile,1672.85,2005
46,Morocco,1671.87,2005
47,Tunisia,1671.69,2005
48,Peru,1671.09,2005
49,Ivory Coast,1671.03,2005
50,Austria,1668.85,2005
51,Saudi Arabia,1658.24,2005
52,Jamaica,1651.45,2005
53,Slovenia,1639.24,2005
54,Scotland,1630.05,2005
55,China,1628.65,2005
56,Oman,1628.16,2005
57,Belarus,1615.79,2005
58,Bosnia and Herzegovina,1614.73,2005
59,Venezuela,1608.09,2005
60,Hungary,1604.15,2005
61,Wales,1596.79,2005
62,Guatemala,1581.88,2005
63,Bolivia,1580.38,2005
64,Uzbekistan,1577.59,2005
65,Cuba,1576.87,2005
66,Bahrain,1576.44,2005
67,South Africa,1575.9,2005
68,Canada,1566.4,2005
69,Jordan,1560.98,2005
70,Togo,1556.89,2005
71,Angola,1538.43,2005
72,Ghana,1530.76,2005
73,New Zealand,1523.31,2005
74,Qatar,1522.92,2005
75,Albania,1522.27,2005
76,Zimbabwe,1521.98,2005
77,Iceland,1519.1,2005
78,Guinea,1517.85,2005
79,Mali,1517.38,2005
80,Iraq,1516.65,2005
81,Libya,1514.51,2005
82,Zambia,1507.74,2005
83,Georgia,1506.5,2005
84,Trinidad and Tobago,1503.75,2005
85,Panama,1497.97,2005
86,Northern Ireland,1496.26,2005
87,Macedonia,1481.88,2005
88,Kuwait,1480.67,2005
89,Haiti,1480.29,2005
90,Latvia,1478.94,2005
91,North Korea,1473.33,2005
92,Syria,1469.52,2005
93,Lithuania,1467.78,2005
94,Northern Cyprus,1452.32,2005
95,Dem. Rep. of Congo,1450.93,2005
96,Cyprus,1447.87,2005
97,Algeria,1427.59,2005
98,United Arab Emirates,1423.3,2005
99,Moldova,1415.09,2005
100,Gabon,1411.48,2005
101,Kenya,1409.03,2005
102,Armenia,1407.01,2005
103,Estonia,1394.33,2005
104,Congo,1386.93,2005
105,El Salvador,1386.11,2005
106,Burkina Faso,1382.97,2005
107,Sudan,1380.93,2005
108,Kosovo,1376.68,2005
109,Azerbaijan,1363.41,2005
110,Solomon Islands,1362.78,2005
111,Guadeloupe,1355.52,2005
112,Turkmenistan,1353.16,2005
113,Cape Verde,1351.99,2005
114,Ethiopia,1346.45,2005
115,Saint Vincent and the Grenadines,1344.21,2005
116,Gambia,1343.33,2005
117,Lebanon,1339.35,2005
118,Liberia,1337.69,2005
119,Mauritius,1334.98,2005
120,Rwanda,1334.85,2005
121,Kazakhstan,1333.67,2005
122,Uganda,1331.13,2005
123,Sierra Leone,1326.33,2005
124,Tajikistan,1321.73,2005
125,Thailand,1316.86,2005
126,Fiji,1315.71,2005
127,Singapore,1310.37,2005
128,Botswana,1306.58,2005
129,Burundi,1303.99,2005
130,Malawi,1296.51,2005
131,Indonesia,1295.6,2005
132,Barbados,1293.69,2005
133,Chad,1288.49,2005
134,Mozambique,1279.05,2005
135,Benin,1277.5,2005
136,Reunion,1275.72,2005
137,Malta,1247.25,2005
138,Faroe Islands,1237.72,2005
139,Madagascar,1235.18,2005
140,Hong Kong,1226.77,2005
141,Guinea-Bissau,1226.5,2005
142,Grenada,1225.54,2005
143,Palestine,1219.81,2005
144,French Guiana,1215.5,2005
145,Central African Republic,1215.26,2005
146,Yemen,1214.21,2005
147,Malaysia,1205.38,2005
148,Swaziland,1193.12,2005
149,Bermuda,1174.38,2005
150,Namibia,1167.68,2005
151,India,1163.81,2005
152,Zanzibar,1153.74,2005
153,Lesotho,1142.93,2005
154,Eritrea,1140.74,2005
155,Tanzania,1139.11,2005
156,Antigua and Barbuda,1112.71,2005
157,Myanmar,1111.66,2005
158,Liechtenstein,1110.82,2005
159,Andorra,1106.56,2005
160,Belize,1097.75,2005
161,Guyana,1093.85,2005
162,Equatorial Guinea,1089.85,2005
163,Gibraltar,1084.0,2005
164,Seychelles,1047.46,2005
165,Somalia,1033.52,2005
166,Dominica,1031.21,2005
167,Nicaragua,1025.49,2005
168,Bangladesh,1013.71,2005
169,Luxembourg,1000.8,2005
170,Maldives,995.48,2005
171,Sri Lanka,978.38,2005
172,Chinese Taipei,977.8,2005
173,San Marino,942.96,2005
174,Monaco,897.0,2005
175,Puerto Rico,882.48,2005
176,Djibouti,869.82,2005
177,Pakistan,863.19,2005
178,Nepal,853.24,2005
179,Macau,829.81,2005
180,Cambodia,827.33,2005
181,Afghanistan,816.04,2005
182,Mongolia,774.37,2005
183,Bhutan,585.82,2005
184,Guam,541.53,2005
1,Brazil,2052.3,2006
2,France,2016.36,2006
3,Netherlands,1995.99,2006
4,Italy,1993.34,2006
5,England,1975.95,2006
6,Argentina,1960.6,2006
7,Spain,1940.97,2006
8,Germany,1934.67,2006
9,Czech Republic,1923.34,2006
10,Portugal,1916.52,2006
11,Denmark,1898.17,2006
12,Sweden,1869.51,2006
13,Romania,1858.5,2006
14,Croatia,1850.93,2006
15,Turkey,1831.98,2006
16,Uruguay,1831.57,2006
17,Mexico,1827.95,2006
18,Switzerland,1824.67,2006
19,Greece,1814.27,2006
20,United States,1807.75,2006
21,Ireland,1805.93,2006
22,Poland,1792.39,2006
23,Ukraine,1785.63,2006
24,Cameroon,1783.69,2006
25,Australia,1781.73,2006
26,Nigeria,1779.72,2006
27,Colombia,1776.07,2006
28,Iran,1769.91,2006
29,Paraguay,1768.81,2006
30,Serbia,1768.45,2006
31,Japan,1763.68,2006
32,Russia,1752.53,2006
33,Ivory Coast,1752.23,2006
34,Norway,1749.41,2006
35,Ecuador,1743.1,2006
36,Egypt,1737.76,2006
37,Honduras,1728.01,2006
38,Bulgaria,1725.88,2006
39,Israel,1717.02,2006
40,South Korea,1716.3,2006
41,Scotland,1705.44,2006
42,Chile,1703.95,2006
43,Belgium,1699.92,2006
44,Slovakia,1695.34,2006
45,Costa Rica,1679.83,2006
46,Tunisia,1672.52,2006
47,Senegal,1667.73,2006
48,Ghana,1663.6,2006
49,Peru,1651.33,2006
50,Finland,1651.25,2006
51,Morocco,1647.33,2006
52,Austria,1635.59,2006
53,Jamaica,1633.05,2006
54,Bosnia and Herzegovina,1609.88,2006
55,China,1609.68,2006
56,Venezuela,1607.44,2006
57,Guinea,1606.48,2006
58,Hungary,1596.58,2006
59,Oman,1593.99,2006
60,Saudi Arabia,1592.62,2006
61,Canada,1591.77,2006
62,Wales,1591.12,2006
63,Slovenia,1590.73,2006
64,Iraq,1588.08,2006
65,Angola,1580.05,2006
66,Belarus,1572.19,2006
67,Guatemala,1570.4,2006
68,Trinidad and Tobago,1566.64,2006
69,Uzbekistan,1560.79,2006
70,Bolivia,1559.77,2006
71,Qatar,1556.05,2006
72,Cuba,1551.49,2006
73,Mali,1531.34,2006
74,Zambia,1529.35,2006
75,Jordan,1522.52,2006
76,New Zealand,1520.88,2006
77,Albania,1515.1,2006
78,Northern Ireland,1511.43,2006
79,Georgia,1507.42,2006
80,Macedonia,1507.03,2006
81,Iceland,1502.86,2006
82,United Arab Emirates,1499.59,2006
83,Syria,1496.66,2006
84,North Korea,1494.74,2006
85,Bahrain,1492.54,2006
86,Zimbabwe,1491.82,2006
87,Panama,1488.59,2006
88,Lithuania,1487.65,2006
89,Dem. Rep. of Congo,1487.0,2006
90,Latvia,1481.09,2006
91,Haiti,1477.43,2006
92,Togo,1475.87,2006
93,Cyprus,1470.18,2006
94,South Africa,1467.42,2006
95,Northern Cyprus,1464.64,2006
96,Kuwait,1462.17,2006
97,Libya,1457.31,2006
98,Ethiopia,1442.05,2006
99,Moldova,1424.67,2006
100,Algeria,1416.65,2006
101,Estonia,1416.31,2006
102,Burkina Faso,1411.29,2006
103,Armenia,1393.48,2006
104,Gabon,1387.39,2006
105,El Salvador,1379.73,2006
106,Uganda,1376.81,2006
107,Kosovo,1372.09,2006
108,Guadeloupe,1370.86,2006
109,Congo,1361.13,2006
110,Martinique,1360.99,2006
111,Azerbaijan,1357.23,2006
112,Lebanon,1355.37,2006
113,Kenya,1351.01,2006
114,Saint Vincent and the Grenadines,1347.31,2006
115,Gambia,1341.98,2006
116,Kazakhstan,1337.72,2006
117,Singapore,1333.16,2006
118,Malawi,1329.72,2006
119,Tajikistan,1323.77,2006
120,Thailand,1317.64,2006
121,Sierra Leone,1316.78,2006
122,Cape Verde,1314.13,2006
123,Sudan,1314.0,2006
124,Botswana,1311.33,2006
125,Niger,1308.93,2006
126,Rwanda,1307.32,2006
127,Mauritius,1296.53,2006
128,Barbados,1291.96,2006
129,Mozambique,1291.74,2006
130,Indonesia,1286.43,2006
131,Liberia,1280.82,2006
132,Chad,1276.23,2006
133,Benin,1268.97,2006
134,Reunion,1268.42,2006
135,Malta,1254.68,2006
136,Saint Kitts and Nevis,1244.3,2006
137,Yemen,1241.68,2006
138,Suriname,1239.68,2006
139,Saint Lucia,1239.09,2006
140,Burundi,1235.47,2006
141,Hong Kong,1226.84,2006
142,Palestine,1222.05,2006
143,Central African Republic,1221.19,2006
144,Zanzibar,1215.86,2006
145,Mayotte,1215.58,2006
146,Grenada,1213.02,2006
147,Tanzania,1210.56,2006
148,Madagascar,1209.25,2006
149,Faroe Islands,1201.26,2006
150,Vietnam,1198.34,2006
151,Malaysia,1194.02,2006
152,Kyrgyzstan,1193.22,2006
153,Swaziland,1190.87,2006
154,Guyana,1183.38,2006
155,Namibia,1181.24,2006
156,Bermuda,1179.53,2006
157,Mauritania,1163.79,2006
158,Netherlands Antilles,1162.73,2006
159,Equatorial Guinea,1156.46,2006
160,India,1142.15,2006
161,Lesotho,1132.42,2006
162,Myanmar,1128.32,2006
163,Liechtenstein,1120.56,2006
164,Eritrea,1108.23,2006
165,Andorra,1100.95,2006
166,Antigua and Barbuda,1097.67,2006
167,Gibraltar,1088.61,2006
168,Seychelles,1071.46,2006
169,Dominican Republic,1061.57,2006
170,Cayman Islands,1048.47,2006
171,Saint Martin,1019.25,2006
172,Bangladesh,1017.68,2006
173,Somalia,1012.83,2006
174,Dominica,1009.33,2006
175,Luxembourg,981.73,2006
176,Greenland,973.15,2006
177,San Marino,938.92,2006
178,Chinese Taipei,936.38,2006
179,Sri Lanka,934.41,2006
180,Monaco,890.91,2006
181,Pakistan,890.37,2006
182,Laos,881.06,2006
183,Bahamas,854.81,2006
184,Djibouti,844.62,2006
185,Nepal,839.15,2006
186,Comoros,828.13,2006
187,Macau,820.15,2006
188,Cambodia,815.64,2006
189,Afghanistan,810.53,2006
190,Turks and Caicos,775.52,2006
191,Brunei,733.52,2006
192,Philippines,702.18,2006
193,US Virgin Islands,675.37,2006
194,Tibet,671.76,2006
195,Timor-Leste,650.17,2006
196,Bhutan,563.91,2006
197,Anguilla,556.17,2006
198,Guam,534.03,2006
1,Brazil,2071.75,2007
2,France,2045.78,2007
3,Italy,2024.02,2007
4,Argentina,2006.65,2007
5,Netherlands,1988.13,2007
6,Germany,1982.97,2007
7,England,1940.84,2007
8,Spain,1923.12,2007
9,Portugal,1906.02,2007
10,Croatia,1900.76,2007
11,Romania,1896.3,2007
12,Czech Republic,1890.44,2007
13,Denmark,1887.96,2007
14,Mexico,1861.47,2007
15,Turkey,1833.75,2007
16,Switzerland,1830.28,2007
17,Uruguay,1827.92,2007
18,Sweden,1814.7,2007
19,Greece,1807.19,2007
20,Colombia,1799.52,2007
21,Ukraine,1791.73,2007
22,Russia,1783.07,2007
23,Paraguay,1778.49,2007
24,Poland,1776.93,2007
25,Iran,1776.18,2007
26,Ivory Coast,1775.05,2007
27,United States,1772.15,2007
28,Cameroon,1770.41,2007
29,Ireland,1766.15,2007
30,Ghana,1764.62,2007
31,Bulgaria,1760.65,2007
32,Norway,1759.88,2007
33,Nigeria,1756.44,2007
34,Scotland,1754.68,2007
35,Serbia,1751.96,2007
36,Japan,1747.15,2007
37,Chile,1744.05,2007
38,Australia,1743.61,2007
39,Israel,1727.5,2007
40,Egypt,1719.07,2007
41,Ecuador,1718.28,2007
42,Slovakia,1701.68,2007
43,Honduras,1677.58,2007
44,South Korea,1666.05,2007
45,Finland,1664.8,2007
46,Morocco,1655.2,2007
